bin_left,bin_right,x_center,dns_count_RAW,phi_RAW,dns_count_NORM,phi_NORM
-733.7471318500512,-725.6910827803232,-729.7191073151872,36,389.51740591138133,36,19.36652793134616
-725.6910827803232,-717.635033710595,-721.6630582454591,43,312.0434804444678,43,23.200343619021996
-717.635033710595,-709.578984640867,-713.607009175731,42,384.8064931944695,42,28.770971712664238
-709.578984640867,-701.522935571139,-705.550960106003,48,277.84701460563673,48,22.456927607778645
-701.522935571139,-693.4668865014108,-697.494911036275,41,334.42403535010254,41,27.31361666482795
-693.4668865014108,-685.4108374316828,-689.4388619665468,38,467.41946693122134,38,26.834112669772033
-685.4108374316828,-677.3547883619548,-681.3828128968188,53,305.19417597736197,53,20.58717790747572
-677.3547883619548,-669.2987392922266,-673.3267638270906,42,222.64086630491437,42,21.84011917611327
-669.2987392922266,-661.2426902224986,-665.2707147573626,50,437.1207533000776,50,24.031816520578573
-661.2426902224986,-653.1866411527706,-657.2146656876346,58,223.97161276892407,58,17.252505328631578
-653.1866411527706,-645.1305920830424,-649.1586166179065,75,230.46484068830816,75,24.042260318181203
-645.1305920830424,-637.0745430133144,-641.1025675481784,58,408.3609660318668,58,29.50587214154392
-637.0745430133144,-629.0184939435863,-633.0465184784504,58,154.38511617695332,58,13.98592562307187
-629.0184939435863,-620.9624448738582,-624.9904694087222,90,235.73589836415417,90,22.48453146240404
-620.9624448738582,-612.9063958041302,-616.9344203389942,72,194.88807535929828,72,23.312703053066187
-612.9063958041302,-604.8503467344021,-608.8783712692662,62,229.89639255565504,62,23.07656515572086
-604.8503467344021,-596.7942976646741,-600.8223221995381,64,198.20091240653707,64,19.13652206493592
-596.7942976646741,-588.738248594946,-592.7662731298101,85,215.37207859151695,85,22.920685448644235
-588.738248594946,-580.6821995252179,-584.7102240600819,82,222.38185797773795,82,22.05187744929998
-580.6821995252179,-572.6261504554898,-576.6541749903538,78,472.9279366642088,78,54.22779463829062
-572.6261504554898,-564.5701013857617,-568.5981259206258,72,152.06135379365625,72,13.504426418193145
-564.5701013857617,-556.5140523160337,-560.5420768508977,80,215.6863216716284,80,26.900580771939477
-556.5140523160337,-548.4580032463057,-552.4860277811697,80,234.09341305501053,80,32.806876565800074
-548.4580032463057,-540.4019541765775,-544.4299787114417,101,208.5643824833579,101,22.099053764047365
-540.4019541765775,-532.3459051068495,-536.3739296417135,84,158.8404630725043,84,18.69429159304707
-532.3459051068495,-524.2898560371214,-528.3178805719854,93,170.34161618119805,93,21.431348321718065
-524.2898560371214,-516.2338069673933,-520.2618315022573,112,166.13613525238478,112,19.44603069669202
-516.2338069673933,-508.1777578976653,-512.2057824325293,114,260.53256755088677,114,23.528460545884315
-508.1777578976653,-500.1217088279372,-504.14973336280127,105,279.36490475116693,105,27.268235970960976
-500.1217088279372,-492.0656597582091,-496.0936842930731,123,194.58070205265784,123,28.87038180900367
-492.0656597582091,-484.0096106884811,-488.0376352233451,125,125.07004683603289,125,15.844740920313198
-484.0096106884811,-475.953561618753,-479.98158615361706,129,303.65832315003814,129,30.07371356517007
-475.953561618753,-467.8975125490249,-471.9255370838889,127,207.52918056908302,127,29.195159997442
-467.8975125490249,-459.84146347929686,-463.8694880141609,169,203.6082802764948,169,29.685657127029586
-459.84146347929686,-451.7854144095688,-455.81343894443285,150,146.5794672205353,150,22.412128654501725
-451.7854144095688,-443.7293653398407,-447.7573898747047,161,129.77977435140738,161,22.806208107023693
-443.7293653398407,-435.67331627011265,-439.70134080497667,162,122.78428616270133,162,23.240877264101215
-435.67331627011265,-427.61726720038456,-431.64529173524863,171,169.01806330719486,171,24.622091989520566
-427.61726720038456,-419.56121813065647,-423.5892426655205,163,138.97067541769914,163,22.280358507136143
-419.56121813065647,-411.50516906092844,-415.53319359579245,219,156.6278779131807,219,30.43562769023329
-411.50516906092844,-403.44911999120035,-407.4771445260644,190,156.5545191936637,190,27.85216568493026
-403.44911999120035,-395.39307092147226,-399.4210954563363,230,156.16020844435354,230,25.36545762052238
-395.39307092147226,-387.3370218517442,-391.36504638660824,190,132.81674537956334,190,24.436421890006525
-387.3370218517442,-379.28097278201614,-383.3089973168802,267,118.43757034149259,267,23.494997257866657
-379.28097278201614,-371.22492371228805,-375.25294824715206,257,117.74808486719522,257,25.430005745603047
-371.22492371228805,-363.16887464256,-367.19689917742403,240,111.4345638879419,240,22.811174582408576
-363.16887464256,-355.1128255728319,-359.140850107696,258,94.90819625828644,258,22.478316840081803
-355.1128255728319,-347.05677650310383,-351.08480103796785,289,95.86365012250906,289,28.53810753926257
-347.05677650310383,-339.0007274333758,-343.0287519682398,330,98.02908381771157,330,24.615936641736937
-339.0007274333758,-330.9446783636477,-334.9727028985118,348,95.30831844760507,348,25.432035258623976
-330.9446783636477,-322.8886292939197,-326.9166538287837,363,77.74799988885131,363,21.92221603594117
-322.8886292939197,-314.8325802241916,-318.8606047590556,386,84.25672023665274,386,24.661917311607805
-314.8325802241916,-306.7765311544635,-310.8045556893276,385,83.24665238766342,385,23.52373010304836
-306.7765311544635,-298.72048208473547,-302.7485066195995,440,86.42863730195413,440,23.502189807066202
-298.72048208473547,-290.6644330150074,-294.6924575498714,434,83.50332010888441,434,28.568633897757547
-290.6644330150074,-282.6083839452793,-286.63640848014336,505,80.08197059437114,505,28.736324662458546
-282.6083839452793,-274.55233487555125,-278.58035941041527,545,65.6009310906594,545,24.91272706738726
-274.55233487555125,-266.49628580582316,-270.5243103406872,567,64.6618620071654,567,26.456203976752693
-266.49628580582316,-258.4402367360951,-262.46826127095915,616,63.47084433665274,616,26.099421452631674
-258.4402367360951,-250.38418766636704,-254.41221220123106,676,58.45136051689846,676,27.482499638511808
-250.38418766636704,-242.32813859663895,-246.356163131503,682,56.00023168325055,682,25.89321641697847
-242.32813859663895,-234.27208952691086,-238.3001140617749,764,60.31984812447134,764,27.571750745984094
-234.27208952691086,-226.21604045718283,-230.24406499204684,801,54.56106242454621,801,26.81202682610586
-226.21604045718283,-218.15999138745474,-222.18801592231878,840,51.77509745119166,840,29.35374006968144
-218.15999138745474,-210.1039423177267,-214.13196685259072,928,44.26048623167943,928,26.19613483703309
-210.1039423177267,-202.04789324799856,-206.07591778286263,1047,42.91838723308548,1047,28.735268400302555
-202.04789324799856,-193.99184417827053,-198.01986871313454,1054,46.05297526501449,1054,27.63175810843198
-193.99184417827053,-185.9357951085425,-189.9638196434065,1187,46.657268932575064,1187,30.897027354394453
-185.9357951085425,-177.87974603881435,-181.90777057367842,1343,37.34058034296802,1343,28.458118012285077
-177.87974603881435,-169.8236969690863,-173.85172150395033,1426,35.55741617688089,1426,27.803747391739375
-169.8236969690863,-161.76764789935828,-165.7956724342223,1606,38.93871480294634,1606,27.62594213672175
-161.76764789935828,-153.71159882963013,-157.7396233644942,1764,28.67443934700061,1764,29.71164048178128
-153.71159882963013,-145.6555497599021,-149.68357429476612,1936,31.94412946595617,1936,29.998042346325196
-145.6555497599021,-137.59950069017407,-141.62752522503808,2136,30.107191590721346,2136,32.63390538517496
-137.59950069017407,-129.54345162044592,-133.57147615531,2423,22.49274119205487,2423,31.434072236999867
-129.54345162044592,-121.48740255071789,-125.5154270855819,2650,22.577170931919042,2650,30.889910065770504
-121.48740255071789,-113.43135348098986,-117.45937801585387,2813,26.38755144330768,2813,32.35957529290418
-113.43135348098986,-105.37530441126171,-109.40332894612578,3261,20.82406549908949,3261,34.37531990925643
-105.37530441126171,-97.31925534153368,-101.34727987639769,3726,19.043069438567265,3726,34.17803403239388
-97.31925534153368,-89.26320627180564,-93.29123080666966,4302,17.566548025852814,4302,36.22705802031203
-89.26320627180564,-81.2071572020775,-85.23518173694157,4722,13.755400767002657,4722,36.73007494629353
-81.2071572020775,-73.15110813234946,-77.17913266721348,5476,12.303716933769602,5476,37.67170779803682
-73.15110813234946,-65.09505906262143,-69.12308359748545,6289,11.795680895855618,6289,39.58415148891919
-65.09505906262143,-57.039009992893284,-61.06703452775736,7193,9.686734359314624,7193,41.82729674526646
-57.039009992893284,-48.98296092316525,-53.01098545802927,8581,8.476049421342076,8581,44.497667182658304
