bin_left,bin_right,x_center,dns_count,dns_phi,aibm_count,aibm_phi
-1.0,-0.9916666666666667,-0.9958333333333333,20,2.788633374284031,20,0.7603902122804839
-0.9916666666666667,-0.9833333333333333,-0.9875,27,1.0304797994990917,27,0.33453904808287976
-0.9833333333333333,-0.975,-0.9791666666666666,26,2.771226731692985,26,1.956510667761861
-0.975,-0.9666666666666667,-0.9708333333333333,14,4.738390770599432,14,0.7207598239797275
-0.9666666666666667,-0.9583333333333334,-0.9625,20,1.7927142231429882,20,2.292506815791651
-0.9583333333333334,-0.95,-0.9541666666666666,33,1.946199430834315,33,0.6394140445602585
-0.95,-0.9416666666666667,-0.9458333333333333,27,1.3928998226733111,27,0.49800385569814654
-0.9416666666666667,-0.9333333333333333,-0.9375,26,2.103846318934838,26,1.349033888494218
-0.9333333333333333,-0.925,-0.9291666666666667,26,7.988455326243585,26,3.4253862265532
-0.925,-0.9166666666666666,-0.9208333333333334,22,0.990205230303272,22,0.29106943909261523
-0.9166666666666666,-0.9083333333333333,-0.9125,34,2.2309084249696918,34,1.2331148289322431
-0.9083333333333333,-0.9,-0.9041666666666667,18,0.7863607491336143,18,0.5534344923451577
-0.9,-0.8916666666666666,-0.8958333333333333,25,1.1693216732008482,25,1.1827042638085108
-0.8916666666666666,-0.8833333333333333,-0.8875,23,1.1641445094303495,23,0.6361160689766749
-0.8833333333333333,-0.875,-0.8791666666666667,28,1.7530617579157586,28,0.7023216354390969
-0.875,-0.8666666666666667,-0.8708333333333333,24,6.552542096823717,24,1.1130833994890792
-0.8666666666666667,-0.8583333333333334,-0.8625,29,1.9075154032395651,29,2.3631937661151223
-0.8583333333333334,-0.85,-0.8541666666666667,22,1.8967247197148598,22,0.46902315583140075
-0.85,-0.8416666666666667,-0.8458333333333333,27,0.9424152452274294,27,0.48540193396407383
-0.8416666666666667,-0.8333333333333334,-0.8375,25,1.4509174432646934,25,0.4407187651655606
-0.8333333333333334,-0.825,-0.8291666666666666,29,2.3007216689668,29,1.368981027457549
-0.825,-0.8166666666666667,-0.8208333333333333,22,2.0860249360390783,22,0.8884770095526268
-0.8166666666666667,-0.8083333333333333,-0.8125,31,1.199151233017456,31,1.8356506780827182
-0.8083333333333333,-0.8,-0.8041666666666667,26,1.3731659382487407,26,0.2922990995099471
-0.8,-0.7916666666666666,-0.7958333333333334,21,0.7057708036379101,21,0.15227106995904058
-0.7916666666666666,-0.7833333333333333,-0.7875,35,5.991975740911351,35,5.369967728046882
-0.7833333333333333,-0.775,-0.7791666666666667,22,1.2029850269618005,22,0.4883195952130214
-0.775,-0.7666666666666666,-0.7708333333333333,13,1.9522379696617187,13,2.894951149411372
-0.7666666666666666,-0.7583333333333333,-0.7625,13,1.5061490705342344,13,3.4485611015275257
-0.7583333333333333,-0.75,-0.7541666666666667,17,18.921800508214048,17,2.6448143510832174
-0.75,-0.7416666666666667,-0.7458333333333333,30,0.7600967991159584,30,0.9456671391822802
-0.7416666666666667,-0.7333333333333334,-0.7375,11,2.5716262508553096,11,4.041296559904543
-0.7333333333333334,-0.725,-0.7291666666666667,25,6.0319736582275425,25,0.38929833196437424
-0.725,-0.7166666666666667,-0.7208333333333333,24,3.1422908436383032,24,2.9975636873198366
-0.7166666666666667,-0.7083333333333333,-0.7124999999999999,33,3.2637904919120926,33,1.1404463786634877
-0.7083333333333333,-0.7,-0.7041666666666666,26,14.249252059647326,26,7.153450714916619
-0.7,-0.6916666666666667,-0.6958333333333333,26,4.069788008919421,26,0.6061629870348092
-0.6916666666666667,-0.6833333333333333,-0.6875,27,2.0354055227776424,27,1.2759987444139107
-0.6833333333333333,-0.675,-0.6791666666666667,22,2.5364126965765497,22,1.9655548531438118
-0.675,-0.6666666666666667,-0.6708333333333334,18,0.8286373037392926,18,0.43454942683472547
-0.6666666666666667,-0.6583333333333333,-0.6625000000000001,25,1.63797909883823,25,0.4347043390809906
-0.6583333333333333,-0.65,-0.6541666666666667,16,1.1672685220024686,16,0.13296886451561554
-0.65,-0.6416666666666666,-0.6458333333333333,22,3.3307432150839706,22,1.8638838717881208
-0.6416666666666666,-0.6333333333333333,-0.6375,22,1.327271333106335,22,0.48607677053420306
-0.6333333333333333,-0.625,-0.6291666666666667,17,4.838474239750656,17,5.269004680039646
-0.625,-0.6166666666666667,-0.6208333333333333,32,6.256454338474934,32,1.2268983750610951
-0.6166666666666667,-0.6083333333333334,-0.6125,20,0.8404995481580793,20,0.49945796155894506
-0.6083333333333334,-0.6,-0.6041666666666667,13,1.6483472326842172,13,0.5536822387773833
-0.6,-0.5916666666666667,-0.5958333333333333,26,2.2615234944982836,26,0.9891237178401114
-0.5916666666666667,-0.5833333333333333,-0.5874999999999999,23,4.007184668628055,23,2.0390041340591094
-0.5833333333333333,-0.575,-0.5791666666666666,28,1.0370358284907815,28,4.205629738629374
-0.575,-0.5666666666666667,-0.5708333333333333,20,2.007070156733083,20,1.1605137539089903
-0.5666666666666667,-0.5583333333333333,-0.5625,25,3.1751494989371336,25,1.232437688793464
-0.5583333333333333,-0.55,-0.5541666666666667,28,4.972532114424406,28,0.7933840435762116
-0.55,-0.5416666666666667,-0.5458333333333334,27,6.625264532732509,27,1.762107384123136
-0.5416666666666667,-0.5333333333333333,-0.5375000000000001,28,2.3654372234341503,28,2.1510347636168254
-0.5333333333333333,-0.525,-0.5291666666666667,26,1.3375585218058024,26,0.31000321326606006
-0.525,-0.5166666666666666,-0.5208333333333333,31,1.9419098562925603,31,1.4387806068881401
