bin_left,bin_right,x_center,dns_count,dns_phi,aibm_count,aibm_phi
-508.1777578976653,-500.1217088279372,-504.14973336280127,105,279.3649047511668,105,145.34149212045804
-500.1217088279372,-492.0656597582091,-496.0936842930731,123,194.58070205265784,123,144.35555304164293
-492.0656597582091,-484.0096106884811,-488.0376352233451,125,125.07004683603292,125,130.59698568826812
-484.0096106884811,-475.953561618753,-479.98158615361706,129,303.65832315003803,129,158.96970007801949
-475.953561618753,-467.8975125490249,-471.9255370838889,127,207.529180569083,127,149.52498411080845
-467.8975125490249,-459.84146347929686,-463.8694880141609,169,203.60828027649472,169,135.1422888539922
-459.84146347929686,-451.7854144095688,-455.81343894443285,150,146.5794672205352,150,112.6791441490859
-451.7854144095688,-443.7293653398407,-447.7573898747047,161,129.7797743514074,161,141.96582196758695
-443.7293653398407,-435.67331627011265,-439.70134080497667,162,122.7842861627013,162,103.71737139764518
-435.67331627011265,-427.61726720038456,-431.64529173524863,171,169.0180633071948,171,125.69081355323307
-427.61726720038456,-419.56121813065647,-423.5892426655205,163,138.9706754176991,163,103.34608320760725
-419.56121813065647,-411.50516906092844,-415.53319359579245,219,156.62787791318075,219,107.48828931916275
-411.50516906092844,-403.44911999120035,-407.4771445260644,190,156.5545191936637,190,109.3422776951485
-403.44911999120035,-395.39307092147226,-399.4210954563363,230,156.16020844435351,230,102.2234844943399
-395.39307092147226,-387.3370218517442,-391.36504638660824,190,132.81674537956332,190,126.67279479284149
-387.3370218517442,-379.28097278201614,-383.3089973168802,267,118.43757034149256,267,97.28371606358884
-379.28097278201614,-371.22492371228805,-375.25294824715206,257,117.74808486719517,257,84.37383354374461
-371.22492371228805,-363.16887464256,-367.19689917742403,240,111.43456388794188,240,99.46799774231994
-363.16887464256,-355.1128255728319,-359.140850107696,258,94.90819625828641,258,73.28409682004178
-355.1128255728319,-347.05677650310383,-351.08480103796785,289,95.86365012250906,289,77.56695765080269
-347.05677650310383,-339.0007274333758,-343.0287519682398,330,98.0290838177116,330,79.1365917521589
-339.0007274333758,-330.9446783636477,-334.9727028985118,348,95.30831844760503,348,76.86172337106889
-330.9446783636477,-322.8886292939197,-326.9166538287837,363,77.74799988885127,363,75.5834189372996
-322.8886292939197,-314.8325802241916,-318.8606047590556,386,84.25672023665271,386,67.28744419287624
-314.8325802241916,-306.7765311544635,-310.8045556893276,385,83.2466523876634,385,68.18040603826316
-306.7765311544635,-298.72048208473547,-302.7485066195995,440,86.42863730195408,440,66.53447974565786
-298.72048208473547,-290.6644330150074,-294.6924575498714,434,83.5033201088844,434,59.4132493237126
-290.6644330150074,-282.6083839452793,-286.63640848014336,505,80.08197059437113,505,57.25416180323021
-282.6083839452793,-274.55233487555125,-278.58035941041527,545,65.60093109065939,545,55.30390711008261
-274.55233487555125,-266.49628580582316,-270.5243103406872,567,64.66186200716544,567,60.50347442178548
-266.49628580582316,-258.4402367360951,-262.46826127095915,616,63.47084433665274,616,52.57228447420642
-258.4402367360951,-250.38418766636704,-254.41221220123106,676,58.45136051689843,676,42.99450256963438
